Date and Time,side,price,size
06/02/2015 07:45,ASK,10879,1
06/02/2015 07:45,BID,10877.5,2
06/02/2015 07:45,TRADE,10879,1
06/02/2015 07:45,TRADE,10879.5,1
06/02/2015 07:45,ASK,10879.5,11
06/02/2015 07:45,ASK,10879.5,10
06/02/2015 07:45,ASK,10879.5,11
06/02/2015 07:45,TRADE,10877.5,1
06/02/2015 07:45,BID,10877.5,1
06/02/2015 07:45,ASK,10879,1
06/02/2015 07:45,BID,10877.5,2
06/02/2015 07:45,TRADE,10877.5,1
06/02/2015 07:45,BID,10877.5,1
06/02/2015 07:45,TRADE,10877.5,1
06/02/2015 07:45,BID,10877,3
06/02/2015 07:45,BID,10877,2
06/02/2015 07:45,ASK,10879,2
06/02/2015 07:45,ASK,10879,3
06/02/2015 07:45,BID,10877,3
06/02/2015 07:45,ASK,10879,4
06/02/2015 07:45,BID,10877,4
06/02/2015 07:45,ASK,10879,3
06/02/2015 07:45,BID,10877.5,1
06/02/2015 07:45,BID,10877.5,2
06/02/2015 07:45,BID,10877.5,4
06/02/2015 07:45,TRADE,10879,1
06/02/2015 07:45,ASK,10879,2
06/02/2015 07:45,BID,10878,1
06/02/2015 07:45,ASK,10879,1
06/02/2015 07:45,TRADE,10879,1
06/02/2015 07:45,ASK,10879.5,11
06/02/2015 07:45,ASK,10879.5,12
06/02/2015 07:45,BID,10878,2
06/02/2015 07:45,ASK,10879.5,11
06/02/2015 07:45,ASK,10879.5,10
06/02/2015 07:45,BID,10878,3
06/02/2015 07:45,ASK,10880,17
06/02/2015 07:45,BID,10878,2
06/02/2015 07:45,TRADE,10880,1
06/02/2015 07:45,ASK,10880,16
06/02/2015 07:45,ASK,10879.5,1
06/02/2015 07:45,TRADE,10879.5,1
06/02/2015 07:45,ASK,10880,16
06/02/2015 07:45,BID,10879,1
06/02/2015 07:45,TRADE,10879,1
06/02/2015 07:45,BID,10878,2
06/02/2015 07:45,BID,10878,1
06/02/2015 07:45,ASK,10879.5,1
06/02/2015 07:45,BID,10878,2
06/02/2015 07:45,TRADE,10879.5,1
06/02/2015 07:45,TRADE,10880,3
06/02/2015 07:45,ASK,10880,13
06/02/2015 07:45,BID,10878,3
06/02/2015 07:45,BID,10878.5,1
06/02/2015 07:45,BID,10878.5,2
06/02/2015 07:45,TRADE,10880,1
06/02/2015 07:45,ASK,10880,12
06/02/2015 07:45,TRADE,10880,4
06/02/2015 07:45,ASK,10880,8
06/02/2015 07:45,TRADE,10880,1
06/02/2015 07:45,ASK,10880,7
06/02/2015 07:45,TRADE,10880,4
06/02/2015 07:45,ASK,10880,3
06/02/2015 07:45,TRADE,10880,2
06/02/2015 07:45,ASK,10880,1
06/02/2015 07:45,TRADE,10880,1
06/02/2015 07:45,ASK,10880.5,3
06/02/2015 07:45,BID,10879,1
06/02/2015 07:45,ASK,10880.5,2
06/02/2015 07:45,BID,10879,2
06/02/2015 07:45,TRADE,10880.5,2
06/02/2015 07:45,ASK,10881,1
06/02/2015 07:45,ASK,10881.5,6
06/02/2015 07:45,ASK,10881.5,5
06/02/2015 07:45,BID,10879,3
06/02/2015 07:45,ASK,10881.5,4
06/02/2015 07:45,BID,10879,4
06/02/2015 07:45,ASK,10881.5,1
06/02/2015 07:45,BID,10879.5,1
06/02/2015 07:45,BID,10879.5,2
06/02/2015 07:45,BID,10879.5,3
06/02/2015 07:45,BID,10880,1
06/02/2015 07:45,BID,10880,2
06/02/2015 07:45,BID,10880,3
06/02/2015 07:45,ASK,10881.5,2
06/02/2015 07:45,TRADE,10881.5,2
06/02/2015 07:45,ASK,10882,3
06/02/2015 07:45,TRADE,10882,3
06/02/2015 07:45,TRADE,10882.5,2
06/02/2015 07:45,ASK,10882.5,10
06/02/2015 07:45,TRADE,10882.5,1
06/02/2015 07:45,ASK,10882.5,9
06/02/2015 07:45,TRADE,10882.5,1
06/02/2015 07:45,ASK,10882.5,8
06/02/2015 07:45,BID,10881.5,5
06/02/2015 07:45,BID,10881,1
06/02/2015 07:45,BID,10880,6
06/02/2015 07:45,TRADE,10882.5,1
06/02/2015 07:45,ASK,10882.5,7
06/02/2015 07:45,BID,10880.5,1
06/02/2015 07:45,BID,10881,1
06/02/2015 07:45,BID,10881,2
06/02/2015 07:45,BID,10881,3
06/02/2015 07:45,ASK,10882,6
06/02/2015 07:45,BID,10881,2
06/02/2015 07:45,BID,10881,3
06/02/2015 07:45,BID,10881,2
06/02/2015 07:45,BID,10881.5,1
06/02/2015 07:45,TRADE,10881.5,1
06/02/2015 07:45,BID,10881,2
06/02/2015 07:45,ASK,10881.5,1
06/02/2015 07:45,ASK,10882,6
06/02/2015 07:45,TRADE,10882,6
06/02/2015 07:45,ASK,10882.5,8
